,uuid,municipio,estrato_vivienda,nivel_educativo,cilin_grupo,modelo_grupo,dias_semana,herramienta_trabajo,transporte_cotidiano,trabajo_domicilios,trabajo_transporte_pasajeros,frecuencia_revisionpre,costo_casco,costo_mantenimiento,gasto_anual,licencia_moto,licencia_curso,experiencia,riesgo_velocidad,riesgo_sinlucesdia,riesgo_sinlucesnoche,riesgo_sinreflectivos,motivo_dinero,motivo_tiempo,motivo_independencia,epp_casco,epp_guantes,epp_botas,epp_rodilleras,epp_reflectivos,epp_chaquetaprot,epp_chaquetairbag,edad,sexo,clase_moto,tipo_freno,sector
36,1_10_1030,MEDELLÍN,1,Universitaria o postgrado,126-200,2011-2020,7,1,0,0,0,Menos del 25%,210000,137000.0,2700000.0,1,1,6-10,1,0,1,1,0,1,1,1,0,0,0,0,0,0,24,hombre,moto_street,frenos_disco,sector_servicio
37,1_10_1031,MEDELLÍN,3,Técnica / Tecnológica,100-125,2001-2010,7,0,1,0,0,Mayor a 75%,172000,65000.0,920000.0,1,0,11-20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,23,hombre,moto_street,frenos_mixto,sector_transporte
38,1_10_1032,MEDELLÍN,2,Universitaria o postgrado,126-200,2011-2020,7,0,1,0,0,Mayor a 75%,259000,95000.0,960000.0,1,1,0-2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,22,hombre,moto_deportiva,frenos_disco,sector_servicio
39,1_10_1033,MEDELLÍN,3,Secundaria,100-125,2011-2020,5,0,0,0,0,Mayor a 75%,275000,53000.0,1170080.0,1,0,6-10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,33,mujer,moto_scooter,frenos_mixto,sector_comercio
40,1_10_1034,MEDELLÍN,3,Universitaria o postgrado,100-125,2011-2020,7,1,0,0,0,Nunca,301000,153000.0,3160000.0,1,0,6-10,1,0,1,1,1,1,1,1,0,0,0,0,0,0,23,mujer,moto_scooter,frenos_disco,sector_servicio
41,1_10_1035,MEDELLÍN,2,Secundaria,100-125,2011-2020,6,0,1,0,0,Entre 50% y 75%,293000,47000.0,860000.0,1,0,6-10,1,0,1,1,1,1,1,1,1,0,0,0,1,0,38,hombre,moto_street,frenos_mixto,sector_servicio
44,1_10_1038,MEDELLÍN,4,Universitaria o postgrado,126-200,2011-2020,6,1,0,0,0,Entre 50% y 75%,217000,95000.0,972000.0,1,0,11-20,0,0,1,1,1,1,0,1,0,0,0,0,0,0,36,hombre,moto_street,frenos_disco,sector_servicio
45,1_10_1039,MEDELLÍN,1,Secundaria,100-125,2021-2022,6,0,1,0,0,Mayor a 75%,313000,102000.0,1110000.0,1,1,3-5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,21,mujer,moto_scooter,frenos_disco,sector_comercio
48,1_10_1041,MEDELLÍN,3,Universitaria o postgrado,>200,2021-2022,6,1,0,0,0,Menos del 25%,927000,172000.0,1840000.0,1,0,11-20,1,0,1,1,1,1,1,1,1,0,0,0,0,0,33,hombre,moto_street,frenos_disco,sector_servicio
49,1_10_1042,MEDELLÍN,3,Secundaria,100-125,2011-2020,7,1,0,0,0,Mayor a 75%,277000,32000.0,850000.0,1,1,6-10,1,0,1,1,1,1,1,1,1,0,0,1,0,0,21,hombre,moto_deportiva,frenos_disco,sector_transporte
50,1_10_1043,MEDELLÍN,3,Universitaria o postgrado,100-125,2021-2022,7,1,1,0,0,Mayor a 75%,280000,151000.0,2550000.0,1,0,6-10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,29,mujer,moto_scooter,frenos_mixto,sector_servicio
